,intrinsic_value
0,42
1,62
2,71
3,44
4,53
5,49
6,61
7,52
8,71
9,45
10,49
11,41
12,58
13,86
14,48
15,58
16,52
17,43
18,37
19,51
20,61
21,61
22,45
23,48
24,46
25,55
26,46
27,39
28,34
29,72
30,48
31,41
32,48
33,35
34,63
35,37
36,70
37,33
38,53
39,51
40,69
41,47
42,39
43,50
44,47
45,80
46,36
47,53
48,50
49,56
50,100
51,42
52,57
53,80
54,52
55,49
56,48
57,39
58,41
59,43
60,43
61,58
62,46
63,36
64,48
65,40
66,49
67,44
68,48
69,56
70,69
71,77
72,67
73,43
74,46
75,50
76,57
77,42
78,50
79,44
80,69
81,51
82,59
83,59
84,46
85,83
86,62
87,66
88,43
89,57
90,44
91,64
92,41
93,52
94,52
95,51
96,63
97,51
98,58
99,84
100,63
101,49
102,43
103,50
104,74
105,43
106,53
107,39
108,42
109,83
110,44
111,75
112,75
113,48
114,42
115,70
116,62
117,86
118,54
119,48
120,63
121,40
122,35
123,44
124,73
125,74
126,43
127,54
128,42
129,66
130,59
131,54
132,57
133,44
134,67
135,45
136,41
137,47
138,66
139,80
140,46
141,64
142,45
143,44
144,43
145,42
146,53
147,62
148,42
149,74
150,46
151,47
152,40
153,62
154,47
155,69
156,43
157,80
158,42
159,47
160,38
161,44
162,64
163,41
164,55
165,45
166,47
167,43
168,37
169,55
170,52
171,84
172,45
173,57
174,42
175,42
176,48
177,42
178,33
179,70
180,47
181,41
182,52
183,55
184,57
185,55
186,64
187,43
188,63
189,47
190,65
191,49
192,55
193,70
194,46
195,54
196,41
197,59
198,45
199,51
200,46
201,54
202,52
203,43
204,59
205,76
206,35
207,39
208,43
209,74
210,48
211,50
212,41
213,41
214,47
215,40
216,40
217,41
218,36
219,48
220,43
221,45
222,42
223,45
224,45
225,68
226,51
227,46
228,40
229,39
230,42
231,55
232,53
233,58
234,91
235,38
236,74
237,73
238,44
239,61
240,52
241,62
242,47
243,72
244,54
245,100
246,54
247,42
248,60
249,46
250,54
251,52
252,40
253,46
254,58
255,49
256,44
257,41
258,63
259,42
260,36
261,58
262,49
263,57
264,60
265,44
266,36
267,74
268,46
269,71
270,62
271,41
272,51
273,37
274,46
275,38
276,61
277,60
278,72
279,49
280,46
281,42
282,63
283,43
284,42
285,52
286,87
287,82
288,69
289,48
290,52
291,84
292,47
293,46
294,51
295,43
296,57
297,97
298,55
299,60
300,86
301,47
302,58
303,37
304,60
305,59
306,74
307,40
308,86
309,58
310,112
311,51
312,49
313,57
314,51
315,47
316,36
317,49
318,63
319,43
320,45
321,39
322,57
323,44
324,63
325,38
326,48
327,68
328,35
329,70
330,40
331,56
332,38
333,36
334,83
335,39
336,46
337,51
338,71
339,38
340,46
341,43
342,66
343,45
344,44
345,36
346,41
347,66
348,39
349,68
350,56
351,51
352,49
353,59
354,40
355,50
356,38
357,52
358,35
359,39
360,51
361,74
362,73
363,65
364,49
365,88
366,48
367,63
368,76
369,51
370,64
371,71
372,54
373,42
374,45
375,54
376,42
377,64
378,41
379,39
380,51
381,43
382,75
383,41
384,42
385,63
386,62
387,85
388,54
389,40
390,53
391,57
392,47
393,39
394,36
395,49
396,74
397,61
398,39
399,82
400,51
401,43
402,49
403,63
404,50
405,80
406,51
407,60
408,36
409,54
410,51
411,46
412,63
413,45
414,63
415,39
416,89
417,34
418,79
419,39
420,52
421,46
422,46
423,42
424,41
425,65
426,38
427,44
428,76
429,46
